match_id,match_date,home_team,visiting_team,season,home_score,visiting_score,winner,loser,pre_post_reg_season
19,2018-12-17,Montreal Canadiens,Boston Bruins,2018-19,0,4,Boston Bruins,Montreal Canadiens,regular season
20,2018-12-22,Toronto Maple Leafs,New York Rangers,2018-19,5,3,Toronto Maple Leafs,New York Rangers,regular season
21,2018-12-23,Toronto Maple Leafs,Detroit Red Wings,2018-19,5,4,Toronto Maple Leafs,Detroit Red Wings,regular season
22,2019-01-01,Chicago Blackhawks,Boston Bruins,2018-19,2,4,Boston Bruins,Chicago Blackhawks,regular season
23,2019-01-08,Detroit Red Wings,Montreal Canadiens,2018-19,2,3,Montreal Canadiens,Detroit Red Wings,regular season
24,2019-01-12,Toronto Maple Leafs,Boston Bruins,2018-19,2,3,Boston Bruins,Toronto Maple Leafs,regular season
25,2019-01-14,Boston Bruins,Montreal Canadiens,2018-19,2,3,Montreal Canadiens,Boston Bruins,regular season
26,2019-01-17,New York Rangers,Chicago Blackhawks,2018-19,4,3,New York Rangers,Chicago Blackhawks,regular season
27,2019-01-19,Boston Bruins,New York Rangers,2018-19,2,3,New York Rangers,Boston Bruins,regular season
28,2019-02-01,Detroit Red Wings,Toronto Maple Leafs,2018-19,3,2,Detroit Red Wings,Toronto Maple Leafs,regular season
29,2019-02-06,New York Rangers,Boston Bruins,2018-19,4,3,New York Rangers,Boston Bruins,regular season
30,2019-02-09,Montreal Canadiens,Toronto Maple Leafs,2018-19,3,4,Toronto Maple Leafs,Montreal Canadiens,regular season
31,2019-02-10,Chicago Blackhawks,Detroit Red Wings,2018-19,5,2,Chicago Blackhawks,Detroit Red Wings,regular season
32,2019-02-10,New York Rangers,Toronto Maple Leafs,2018-19,4,1,New York Rangers,Toronto Maple Leafs,regular season
33,2019-02-12,Boston Bruins,Chicago Blackhawks,2018-19,6,3,Boston Bruins,Chicago Blackhawks,regular season
34,2019-02-20,Detroit Red Wings,Chicago Blackhawks,2018-19,4,5,Chicago Blackhawks,Detroit Red Wings,regular season
35,2019-02-23,Toronto Maple Leafs,Montreal Canadiens,2018-19,6,3,Toronto Maple Leafs,Montreal Canadiens,regular season
36,2019-02-26,Detroit Red Wings,Montreal Canadiens,2018-19,1,8,Montreal Canadiens,Detroit Red Wings,regular season
37,2019-03-01,New York Rangers,Montreal Canadiens,2018-19,2,4,Montreal Canadiens,New York Rangers,regular season
38,2019-03-07,Detroit Red Wings,New York Rangers,2018-19,3,2,Detroit Red Wings,New York Rangers,regular season
39,2019-03-12,Montreal Canadiens,Detroit Red Wings,2018-19,3,1,Montreal Canadiens,Detroit Red Wings,regular season
40,2019-03-13,Toronto Maple Leafs,Chicago Blackhawks,2018-19,4,5,Chicago Blackhawks,Toronto Maple Leafs,regular season
41,2019-03-16,Montreal Canadiens,Chicago Blackhawks,2018-19,0,2,Chicago Blackhawks,Montreal Canadiens,regular season
42,2019-03-19,New York Rangers,Detroit Red Wings,2018-19,2,3,Detroit Red Wings,New York Rangers,regular season
43,2019-03-23,Toronto Maple Leafs,New York Rangers,2018-19,1,2,New York Rangers,Toronto Maple Leafs,regular season
44,2019-03-27,Boston Bruins,New York Rangers,2018-19,6,3,Boston Bruins,New York Rangers,regular season
45,2019-03-31,Detroit Red Wings,Boston Bruins,2018-19,6,3,Detroit Red Wings,Boston Bruins,regular season
46,2019-04-06,Montreal Canadiens,Toronto Maple Leafs,2018-19,6,5,Montreal Canadiens,Toronto Maple Leafs,regular season
47,2019-04-11,Boston Bruins,Toronto Maple Leafs,2018-19,1,4,Toronto Maple Leafs,Boston Bruins,postseason
48,2019-04-13,Boston Bruins,Toronto Maple Leafs,2018-19,4,1,Boston Bruins,Toronto Maple Leafs,postseason
49,2019-04-15,Toronto Maple Leafs,Boston Bruins,2018-19,3,2,Toronto Maple Leafs,Boston Bruins,postseason
50,2019-04-17,Toronto Maple Leafs,Boston Bruins,2018-19,4,6,Boston Bruins,Toronto Maple Leafs,postseason
51,2019-04-19,Boston Bruins,Toronto Maple Leafs,2018-19,1,2,Toronto Maple Leafs,Boston Bruins,postseason
52,2019-04-21,Toronto Maple Leafs,Boston Bruins,2018-19,2,4,Boston Bruins,Toronto Maple Leafs,postseason
53,2019-04-23,Boston Bruins,Toronto Maple Leafs,2018-19,5,1,Boston Bruins,Toronto Maple Leafs,postseason
54,2017-10-07,Toronto Maple Leafs,New York Rangers,2017-18,8,5,Toronto Maple Leafs,New York Rangers,regular season
55,2017-10-08,New York Rangers,Montreal Canadiens,2017-18,2,0,New York Rangers,Montreal Canadiens,regular season
56,2017-10-09,Toronto Maple Leafs,Chicago Blackhawks,2017-18,4,3,Toronto Maple Leafs,Chicago Blackhawks,regular season
57,2017-10-10,Montreal Canadiens,Chicago Blackhawks,2017-18,1,3,Chicago Blackhawks,Montreal Canadiens,regular season
58,2017-10-14,Montreal Canadiens,Toronto Maple Leafs,2017-18,3,4,Toronto Maple Leafs,Montreal Canadiens,regular season
59,2017-10-18,Toronto Maple Leafs,Detroit Red Wings,2017-18,6,3,Toronto Maple Leafs,Detroit Red Wings,regular season
